"age","hours","listen_work","play_instrument","composer","bpm","foreign","fav_classical","fav_pop","fav_rock","fav_other","anxiety","depression","insomnia"
21,4,1,1,0,62,0,0,0,1,0,7,4,6
17,1.5,1,0,0,180,1,0,0,1,0,8,7,7
25,3,1,0,0,150,0,0,0,0,1,9,8,6
15,4,1,0,1,105,0,0,0,1,0,8,6,4
13,10,1,0,0,140,0,0,0,0,1,7,2,0
38,3,1,0,0,NA,1,0,0,1,0,6,7,7
23,3,0,0,0,161,0,0,0,1,0,7,6,4
17,3,1,0,0,120,1,0,1,0,0,1,1,1
59,2,1,0,0,103,0,0,1,0,0,1,1,3
22,2,1,1,1,72,0,0,1,0,0,2,7,1
17,3,1,0,0,113,1,0,1,0,0,6,2,3
27,2,0,0,0,120,0,0,1,0,0,7,7,3
23,5,1,1,0,95,0,0,0,0,1,8,7,0
15,6,1,0,0,97,0,0,0,1,0,8,3,5
22,3,1,1,1,140,0,0,0,0,1,5,4,2
23,5,1,0,0,120,1,0,0,0,1,7,10,10
19,5,1,0,0,118,1,0,0,0,1,7,6,8
32,6,1,0,0,91,0,0,0,1,0,8,7,0
40,6,1,0,0,128,1,0,0,1,0,10,7,3
21,3,1,0,0,86,0,0,0,0,1,6,5,5
21,10,1,0,0,107,1,0,0,1,0,8,7,6
23,2,1,0,0,180,1,0,0,0,1,10,7,7
21,2,1,0,0,NA,1,0,0,0,1,10,10,5
35,3,0,1,0,0,0,0,0,0,1,8,2,2
18,1.5,0,0,0,150,0,0,0,0,1,3,7,4
21,10,1,0,0,112,0,0,1,0,0,9,7,5
22,2,1,0,0,NA,1,0,0,0,1,5,3,0
23,3,1,1,1,66,1,0,0,1,0,10,7,0
13,2.5,1,0,0,118,0,0,0,0,1,8,0,0
19,3,1,0,0,110,1,0,0,0,1,6,0,3
33,0.5,1,1,0,80,0,0,0,1,0,7,9,4
18,16,1,0,1,90,1,0,0,0,1,3,2,5
17,6,1,1,0,120,1,1,0,0,0,4,2,0
16,3,1,0,0,100,1,0,0,0,1,4,2,0
18,0.5,0,0,0,66,0,0,0,1,0,5,3,1
19,5,1,0,0,158,1,0,0,0,1,4,2,2
15,2,0,1,0,105,1,0,0,0,1,4,0,6
17,2,1,0,0,208,1,0,1,0,0,7,6,3
25,2,1,0,0,91,1,0,0,0,1,7,8,6
